1A 0535+262 Swift/BAT, flux 20-35, flux 35-75, flux 75-150
53461.0, n, n, n, n, 0.000, 0.000
53462.0, n, n, n, n, 0.003, 0.036
53463.0, n, n, n, n, -0.042, 0.021
53464.0, n, n, n, n, -0.010, 0.018
53465.0, n, n, n, n, -0.022, 0.023
53466.0, n, n, n, n, 0.000, 0.000
53467.0, n, n, n, n, 0.000, 0.000
53468.0, n, n, n, n, 0.000, 0.000
53469.0, n, n, n, n, 0.000, 0.000
53470.0, n, n, n, n, 0.044, 0.057
53471.0, n, n, n, n, 0.026, 0.019
53472.0, n, n, n, n, -0.101, 0.038
53473.0, n, n, n, n, -0.070, 0.035
53474.0, n, n, n, n, -0.054, 0.041
53475.0, n, n, n, n, 0.061, 0.013
53476.0, n, n, n, n, 0.013, 0.015
53477.0, n, n, n, n, -0.019, 0.015
53478.0, n, n, n, n, -0.034, 0.014
53479.0, n, n, n, n, 0.005, 0.013
53480.0, n, n, n, n, 0.092, 0.081
53481.0, n, n, n, n, -0.003, 0.044
53482.0, n, n, n, n, -0.137, 0.185
53483.0, n, n, n, n, -0.024, 0.071
53484.0, n, n, n, n, 0.058, 0.064
53485.0, n, n, n, n, 0.050, 0.031
53486.0, n, n, n, n, 0.035, 0.049
53487.0, n, n, n, n, -0.107, 0.064
53488.0, n, n, n, n, 0.216, 0.079
53489.0, n, n, n, n, 0.039, 0.022
53490.0, n, n, n, n, -0.089, 0.063
53491.0, n, n, n, n, -0.005, 0.072
53492.0, n, n, n, n, -0.016, 0.088
53493.0, n, n, n, n, -0.004, 0.068
53494.0, n, n, n, n, -0.060, 0.071
53495.0, n, n, n, n, 0.102, 0.181
53496.0, n, n, n, n, 0.000, 0.000
53497.0, n, n, n, n, 0.000, 0.000
53498.0, n, n, n, n, 0.000, 0.000
53499.0, n, n, n, n, 0.000, 0.000
53500.0, n, n, n, n, 0.000, 0.000
53501.0, n, n, n, n, 0.000, 0.000
53502.0, n, n, n, n, 0.000, 0.000
53503.0, n, n, n, n, 0.000, 0.000
53504.0, n, n, n, n, -0.126, 0.098
53505.0, n, n, n, n, -0.045, 0.040
53506.0, n, n, n, n, -0.070, 0.052
53507.0, n, n, n, n, 0.162, 0.068
53508.0, n, n, n, n, 0.000, 0.000
53509.0, n, n, n, n, 0.144, 0.077
53510.0, n, n, n, n, 0.000, 0.000
53511.0, n, n, n, n, 0.000, 0.000
53512.0, n, n, n, n, 0.073, 0.105
53513.0, n, n, n, n, 0.000, 0.000
53514.0, n, n, n, n, 0.000, 0.000
53515.0, n, n, n, n, 0.000, 0.000
53516.0, n, n, n, n, 0.174, 0.060
53517.0, n, n, n, n, 0.155, 0.046
53518.0, n, n, n, n, 0.000, 0.000
53519.0, n, n, n, n, 0.405, 0.031
53520.0, n, n, n, n, 0.000, 0.000
53521.0, n, n, n, n, 0.000, 0.000
53522.0, n, n, n, n, 0.000, 0.000
53523.0, n, n, n, n, 0.000, 0.000
53524.0, n, n, n, n, 0.000, 0.000
53525.0, n, n, n, n, 0.000, 0.000
53526.0, n, n, n, n, -0.069, 0.414
53527.0, n, n, n, n, 0.000, 0.000
53528.0, n, n, n, n, 0.347, 0.044
53529.0, n, n, n, n, 0.000, 0.000
53530.0, n, n, n, n, 0.000, 0.000
53531.0, n, n, n, n, 0.000, 0.000
53532.0, n, n, n, n, 0.000, 0.000
53533.0, n, n, n, n, 0.000, 0.000
53534.0, n, n, n, n, 0.000, 0.000
53535.0, n, n, n, n, 0.000, 0.000
53536.0, n, n, n, n, 0.000, 0.000
53537.0, n, n, n, n, 0.000, 0.000
