exo2030plus375, flux 20-40, flux 40-70, flux 70-160, flux 160-430
8408.904175, 0.439, 0.208, 0.317, 0.180, 0.608, 0.177, 0.424, 0.432
8409.487958, 0.025, 0.052, -0.028, 0.046, 0.044, 0.045, -0.143, 0.103
8410.493343, 0.031, 0.044, -0.050, 0.038, -0.045, 0.037, 0.029, 0.084
8411.518457, -0.057, 0.055, -0.053, 0.047, 0.042, 0.046, 0.021, 0.107
8412.504030, 0.018, 0.045, -0.048, 0.039, -0.036, 0.037, 0.090, 0.085
8413.541755, -0.043, 0.039, 0.028, 0.034, 0.012, 0.033, 0.036, 0.074
8415.519761, -0.038, 0.035, -0.076, 0.032, -0.052, 0.034, 0.074, 0.085
8416.317922, -0.019, 0.064, 0.019, 0.058, -0.045, 0.061, -0.033, 0.151
8417.614985, 0.084, 0.045, 0.092, 0.040, 0.124, 0.041, 0.032, 0.102
8418.502769, -0.012, 0.068, 0.017, 0.060, -0.022, 0.063, 0.058, 0.156
8419.605086, 0.043, 0.069, 0.032, 0.060, -0.027, 0.064, 0.000, 0.159
8421.647531, 0.014, 0.102, 0.041, 0.091, 0.060, 0.089, 0.266, 0.212
8422.856603, -0.103, 0.092, -0.017, 0.075, -0.021, 0.081, 0.107, 0.202
8423.505374, 0.004, 0.039, 0.014, 0.031, 0.036, 0.035, -0.101, 0.092
8424.521736, -0.021, 0.032, -0.026, 0.026, -0.045, 0.030, -0.015, 0.078
8425.484382, -0.067, 0.035, 0.028, 0.029, -0.016, 0.033, -0.052, 0.086
8426.435235, 0.025, 0.038, 0.033, 0.031, 0.030, 0.035, -0.088, 0.091
8427.506210, 0.018, 0.041, 0.128, 0.033, 0.144, 0.036, 0.080, 0.091
8428.502938, 0.013, 0.029, -0.000, 0.023, 0.028, 0.026, -0.061, 0.064
8429.509601, 0.106, 0.028, 0.022, 0.023, -0.019, 0.026, 0.028, 0.068
8430.451486, -0.009, 0.037, 0.066, 0.029, 0.031, 0.033, 0.132, 0.085
8431.627413, 0.024, 0.034, 0.051, 0.027, 0.049, 0.030, -0.073, 0.078
8432.497494, -0.063, 0.036, -0.074, 0.028, 0.004, 0.031, 0.013, 0.080
8433.510366, 0.032, 0.032, -0.058, 0.026, -0.024, 0.029, -0.039, 0.073
8434.491685, 0.006, 0.028, 0.004, 0.023, 0.064, 0.025, 0.071, 0.064
8435.912376, -0.187, 0.118, 0.105, 0.098, -0.039, 0.091, -0.078, 0.196
8436.496705, 0.024, 0.034, -0.054, 0.031, -0.020, 0.029, -0.023, 0.068
8437.372038, -0.019, 0.051, -0.010, 0.044, 0.012, 0.041, -0.033, 0.094
8438.497479, 0.011, 0.057, 0.058, 0.048, 0.007, 0.045, 0.006, 0.100
8439.502240, -0.024, 0.041, 0.041, 0.037, 0.012, 0.035, 0.018, 0.079
8440.506937, 0.002, 0.038, 0.102, 0.034, -0.017, 0.032, 0.030, 0.073
8441.511587, -0.031, 0.036, 0.002, 0.032, 0.041, 0.031, 0.005, 0.070
8442.483794, -0.005, 0.036, -0.014, 0.032, 0.060, 0.031, -0.024, 0.070
8443.488379, 0.054, 0.036, -0.025, 0.032, 0.021, 0.030, 0.107, 0.070
8444.492952, -0.003, 0.036, -0.030, 0.032, 0.020, 0.030, 0.069, 0.068
8445.497509, -0.010, 0.032, 0.027, 0.028, -0.103, 0.027, 0.003, 0.061
8446.502055, 0.045, 0.044, -0.016, 0.038, -0.044, 0.035, -0.144, 0.077
8447.506583, -0.040, 0.037, -0.025, 0.032, -0.031, 0.030, -0.001, 0.065
8448.329124, -0.030, 0.042, -0.025, 0.037, -0.012, 0.035, -0.109, 0.077
8449.872062, 0.028, 0.069, 0.075, 0.068, 0.012, 0.068, 0.140, 0.170
8450.487740, -0.007, 0.030, -0.031, 0.029, -0.035, 0.029, 0.053, 0.069
8451.492270, -0.079, 0.032, 0.011, 0.032, -0.066, 0.031, -0.164, 0.075
8452.496786, -0.092, 0.032, -0.020, 0.032, -0.015, 0.031, 0.032, 0.075
8453.501304, -0.025, 0.035, -0.006, 0.034, -0.061, 0.033, -0.047, 0.079
8454.538248, 0.041, 0.039, 0.008, 0.039, -0.052, 0.039, 0.093, 0.095
8455.510384, -0.046, 0.049, 0.010, 0.049, 0.012, 0.049, -0.014, 0.119
8456.320492, -0.046, 0.065, 0.090, 0.065, -0.021, 0.065, 0.109, 0.156
8460.817728, 0.079, 0.160, -0.001, 0.149, -0.021, 0.145, 0.016, 0.349
8461.498178, 0.032, 0.058, -0.035, 0.055, -0.079, 0.053, -0.123, 0.124
